Char	Total Observations	Relative Frequency
!	636553	0.0649
""""	3323331	0.3387
#	201113	0.0205
$	495185	0.0505
%	266890	0.0272
&	239640	0.0244
'	3377384	0.3442
(	2085979	0.2126
)	2142308	0.2183
*	752611	0.0767
+	234124	0.0239
,	10074601	1.0267
-	10947554	1.1157
.	16444697	1.6759
/	3320184	0.3384
0	6511154	0.6636
1	5166554	0.5265
2	4035391	0.4113
3	3288586	0.3352
4	2455656	0.2503
5	2296191	0.2340
6	1877213	0.1913
7	1674985	0.1707
8	1950750	0.1988
9	2971693	0.3029
:	2967137	0.3024
;	2470716	0.2518
<	930860	0.0949
=	2641886	0.2692
>	85852	0.0087
?	866561	0.0883
@	769603	0.0784
A	5031723	0.5128
B	2308278	0.2352
C	3809278	0.3882
D	2984941	0.3042
E	3068242	0.3127
F	2022803	0.2062
G	1619925	0.1651
H	2034148	0.2073
I	5004871	0.5101
J	1014208	0.1034
K	663229	0.0676
L	2121771	0.2162
M	2891665	0.2947
N	2659109	0.2710
O	2323268	0.2368
P	2557089	0.2606
Q	200371	0.0204
R	2582550	0.2632
S	4741083	0.4832
T	5085655	0.5183
U	1460694	0.1489
V	703443	0.0717
W	1948044	0.1985
X	253121	0.0258
Y	852848	0.0869
Z	159215	0.0162
[	292949	0.0299
\	62120	0.0063
]	285414	0.0291
^	56593	0.0058
_	1570378	0.1600
`	71570	0.0073
a	66151947	6.7418
b	11698024	1.1922
c	26475250	2.6982
d	30035729	3.0610
e	101601923	10.3546
f	16763191	1.7084
g	16555383	1.6872
h	36511435	3.7210
i	60485020	6.1642
j	1259963	0.1284
k	5891236	0.6004
l	34297439	3.4954
m	21779233	2.2196
n	59681186	6.0823
o	65122881	6.6369
p	17443337	1.7777
q	1050576	0.1071
r	53072396	5.4088
s	53804421	5.4834
t	74784318	7.6215
u	24341343	2.4807
v	8908357	0.9079
w	14400662	1.4676
x	1962589	0.2000
y	15047067	1.5335
z	1015126	0.1035
{	138062	0.0141
|	546703	0.0557
}	156144	0.0159
~	300046	0.0306
